batch_id,production_tonnes,operating_hours,natural_gas_m3,electricity_kwh,diesel_liters,boiler_temp_c,ambient_pm25_ugm3,ambient_no2_ugm3,ambient_so2_ugm3,waste_landfilled_kg,waste_recycled_kg,co2_emissions_tonnes,leak_anomaly_detected
BATCH-2024000,1274.5,624.0,14260.6,195331.0,400.0,229.1,66.5,38.8,17.8,3346.2,1728.4,149.66,0
BATCH-2024001,1179.3,573.0,,189151.0,1482.9,220.0,101.1,61.9,35.0,2582.8,1043.9,144.93,0
BATCH-2024002,1297.2,642.0,15169.8,193703.0,1901.5,232.6,62.5,72.6,33.2,3996.2,1277.6,153.82,0
BATCH-2024003,1428.5,558.0,16860.1,217482.0,694.2,252.2,47.0,40.6,27.2,3424.2,1482.0,166.62,0
BATCH-2024004,1164.9,618.0,12795.9,180253.0,784.2,227.2,43.8,39.7,42.8,2922.2,1395.6,133.94,0
BATCH-2024005,1164.9,666.0,13228.9,171522.0,1184.2,228.0,91.3,62.4,19.4,3131.3,959.4,136.7,0
BATCH-2024006,1436.9,570.0,16286.7,217325.0,400.0,219.5,49.8,64.0,15.8,3739.3,1332.4,167.65,0
BATCH-2024007,1315.1,583.0,14797.2,197368.0,971.8,214.8,116.6,38.7,22.5,4253.1,1092.5,158.48,0
BATCH-2024008,1129.6,603.0,18728.4,170218.0,593.9,260.0,32.2,40.0,27.6,3254.3,897.8,140.6,1
BATCH-2024009,1281.4,585.0,14938.4,186024.0,991.9,214.7,115.3,41.6,29.9,3400.6,1572.6,145.67,0
BATCH-2024010,1130.5,553.0,12370.2,169769.0,400.0,225.9,82.6,28.9,26.1,3355.7,926.1,129.18,0
BATCH-2024011,1130.1,602.0,13455.5,173505.0,5530.2,219.3,75.9,34.0,30.8,3172.8,1264.9,150.2,0
BATCH-2024012,1236.3,568.0,15278.5,197053.0,2251.0,230.7,66.0,33.0,18.0,3201.7,1519.3,155.71,0
BATCH-2024013,913.0,614.0,11015.8,144625.0,2841.6,229.0,86.8,35.8,39.6,2463.4,621.1,115.07,0
BATCH-2024014,941.3,572.0,10064.8,158415.0,3891.8,237.5,77.2,44.6,27.3,2738.3,1137.4,130.29,0
BATCH-2024015,1115.7,646.0,12587.9,161210.0,1725.1,218.9,102.3,47.8,36.9,3145.0,946.4,127.5,0
BATCH-2024016,1048.1,577.0,12686.3,164190.0,400.0,221.8,80.5,63.6,30.7,2205.8,1309.9,128.95,0
BATCH-2024017,1247.1,590.0,13988.2,188537.0,1925.6,213.3,81.3,33.0,31.7,3334.9,1275.8,150.21,0
BATCH-2024018,1063.8,624.0,12455.6,177088.0,2209.8,219.7,70.0,56.8,32.6,2959.8,1532.9,138.91,0
BATCH-2024019,988.2,563.0,11751.1,141757.0,3420.5,229.5,76.7,42.4,31.6,2847.0,1163.1,118.86,0
BATCH-2024020,1419.8,607.0,15864.8,206259.0,1412.6,234.1,84.8,44.4,33.1,4292.5,998.3,160.54,0
BATCH-2024021,1166.1,639.0,13380.8,170125.0,400.0,213.9,,53.1,38.6,2999.9,1326.6,131.73,0
BATCH-2024022,1210.1,552.0,12295.9,164528.0,834.4,235.4,48.3,31.5,29.6,2835.0,1667.0,129.49,0
BATCH-2024023,986.3,606.0,10830.1,143737.0,1127.8,241.3,94.4,49.6,33.7,3058.2,1312.7,110.49,0
BATCH-2024024,1118.3,608.0,12734.7,161678.0,2595.6,230.0,81.8,47.0,27.3,2863.7,1500.6,131.48,0
BATCH-2024025,1216.6,623.0,13367.4,183699.0,2114.5,247.5,74.0,50.9,39.5,3056.4,1695.8,141.81,0
BATCH-2024026,1027.4,563.0,17051.5,156837.0,1100.5,240.7,78.4,48.5,22.6,3262.5,950.5,130.53,1
BATCH-2024027,1256.4,560.0,13733.0,203463.0,7000.0,210.1,85.6,74.5,42.4,3768.0,1077.7,170.39,0
BATCH-2024028,1109.9,616.0,16934.2,174089.0,2327.1,228.7,66.1,37.3,27.7,2888.9,1251.1,141.66,1
BATCH-2024029,1156.2,609.0,13362.2,168822.0,677.0,243.0,60.9,38.6,16.6,3198.2,1136.6,136.84,0
BATCH-2024030,1109.7,608.0,13482.7,159274.0,400.0,232.9,82.3,37.5,29.0,2735.6,1459.9,122.39,0
BATCH-2024031,1477.8,610.0,,225612.0,414.7,224.3,56.5,38.3,22.6,3586.9,2017.7,171.36,0
BATCH-2024032,1198.0,580.0,14358.3,169134.0,705.8,228.4,87.0,37.4,34.7,3574.7,1195.9,136.89,0
BATCH-2024033,1041.3,607.0,11980.6,170853.0,437.9,211.5,,59.3,22.8,3069.4,903.3,127.32,0
BATCH-2024034,1323.4,609.0,14728.1,207943.0,516.2,254.3,100.6,62.0,24.4,3484.5,1764.1,152.08,0
BATCH-2024035,1016.9,579.0,11925.1,148778.0,839.0,226.6,88.4,38.2,12.9,2937.7,902.2,115.89,0
BATCH-2024036,1231.3,656.0,19250.8,170994.0,476.0,251.3,83.6,35.0,24.4,3082.5,1620.2,142.23,1
BATCH-2024037,906.0,614.0,10119.5,146738.0,5676.9,233.7,99.6,50.7,8.6,2090.7,752.8,119.37,0
BATCH-2024038,1000.8,564.0,15584.1,149199.0,400.0,255.8,114.6,38.4,15.3,2799.4,1278.4,124.22,1
BATCH-2024039,1229.5,620.0,13946.9,194332.0,1858.5,227.7,100.3,52.6,34.1,3825.2,951.0,152.08,0
BATCH-2024040,1310.8,571.0,15130.6,183860.0,1320.8,215.5,37.5,47.4,34.3,3671.0,1609.3,149.01,0
BATCH-2024041,1225.7,624.0,14426.7,179061.0,7000.0,230.7,49.8,26.8,31.4,2764.5,1024.3,154.22,0
BATCH-2024042,1182.7,635.0,14393.5,177440.0,400.0,247.6,64.3,63.6,20.3,3598.1,1522.5,134.28,0
