date,latitude,longitude,temperature_c,relative_humidity_pct,precipitation_mm,surface_pressure_hpa,wind_speed_ms,wind_direction_deg,wind_u,wind_v,source,pm10,pm25,no2,so2,co,o3,aerosol_index,latitude_s5p,longitude_s5p,source_s5p,cloud_fraction,qa_value,ndvi,ndbi,ndwi,cloud_probability,factory_id,factory_name,process,electricity_kwh,natural_gas_m3,diesel_litres,production_tonnes,raw_material_tonnes,waste_tonnes,recycled_tonnes,operating_hours,category,total_energy_mwh,energy_intensity_mwh_per_tonne,fuel_intensity_gas_m3_per_tonne,waste_intensity_kg_per_tonne,recycling_rate_pct,calculated_scope1_co2e_tonnes,calculated_scope2_co2e_tonnes,calculated_total_co2e_tonnes,emission_intensity_co2e_per_tonne,day,month,year,day_of_week,month_sin,month_cos,dow_sin,dow_cos,no2_lag_1d,no2_lag_7d,so2_lag_1d,co_lag_1d,pm25_lag_1d,no2_7d_mean,no2_30d_mean,so2_7d_mean,pm25_7d_mean,environmental_risk_score
2023-01-01,22.4125,73.0944,19.4,61,0.0,1012.8,3.22,32,-1.708,-2.733,ERA5 Reanalysis (Open-Meteo Historical Archive),70.913,48.779,23.912,11.538,456.958,80.458,0.324,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",5495.0,412.3,6.8,37.0,41.4,0.13319999999999999,0.0373,18.0,FACTORY_OPERATIONAL_DATA,9.892,0.2674,11.143,3.6,28.0,0.855,3.344,4.199,0.1135,1,1,2023,6,0.5,0.866,-0.7818,0.6235,23.912,23.912,11.538,456.958,48.779,23.912,23.912,11.538,48.779,36.2
2023-01-02,22.4125,73.0944,19.3,62,0.0,1012.7,3.31,40,-2.125,-2.532,ERA5 Reanalysis (Open-Meteo Historical Archive),82.688,57.429,21.688,9.138,476.833,83.958,0.371,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",8754.0,663.1,0.0,55.6,63.4,0.21130000000000002,0.0528,24.0,FACTORY_OPERATIONAL_DATA,15.717,0.2827,11.926,3.8,25.0,1.346,5.328,6.674,0.12,2,1,2023,0,0.5,0.866,0.0,1.0,23.912,23.912,11.538,456.958,48.779,22.8,22.8,10.338,53.104,36.4
2023-01-03,22.4125,73.0944,19.1,60,0.0,1012.9,4.53,38,-2.788,-3.568,ERA5 Reanalysis (Open-Meteo Historical Archive),67.692,47.275,14.917,7.879,403.792,85.417,0.366,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6807.0,552.8,0.0,45.7,52.1,0.1737,0.0434,24.0,FACTORY_OPERATIONAL_DATA,12.611,0.276,12.096,3.8,25.0,1.122,4.143,5.265,0.1152,3,1,2023,1,0.5,0.866,0.7818,0.6235,21.688,23.912,9.138,476.833,57.429,20.172,20.172,9.518,51.161,29.0
2023-01-04,22.4125,73.0944,18.1,54,0.0,1013.3,6.0,47,-4.388,-4.092,ERA5 Reanalysis (Open-Meteo Historical Archive),56.242,39.137,10.892,12.225,343.25,95.708,0.337,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7232.0,473.9,0.0,45.7,52.1,0.1737,0.0434,24.0,FACTORY_OPERATIONAL_DATA,12.208,0.2671,10.37,3.8,25.0,0.962,4.401,5.363,0.1174,4,1,2023,2,0.5,0.866,0.9749,-0.2225,14.917,23.912,7.879,403.792,47.275,17.852,17.852,10.195,48.155,27.6
2023-01-05,22.4125,73.0944,19.0,58,0.0,1012.9,5.22,53,-4.171,-3.143,ERA5 Reanalysis (Open-Meteo Historical Archive),83.046,58.054,12.408,14.013,456.875,94.375,1.191,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6248.0,514.1,0.0,42.9,48.9,0.163,0.040799999999999996,24.0,FACTORY_OPERATIONAL_DATA,11.646,0.2715,11.984,3.8,25.0,1.044,3.803,4.847,0.113,5,1,2023,3,0.5,0.866,0.4339,-0.901,10.892,23.912,12.225,343.25,39.137,16.763,16.763,10.959,50.135,36.3
2023-01-06,22.4125,73.0944,21.6,68,0.0,1013.5,4.22,67,-3.887,-1.65,ERA5 Reanalysis (Open-Meteo Historical Archive),120.308,83.967,12.588,22.625,531.583,87.167,1.497,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6396.0,466.9,0.0,40.9,46.6,0.1554,0.0389,24.0,FACTORY_OPERATIONAL_DATA,11.298,0.2762,11.416,3.8,25.0,0.948,3.893,4.841,0.1184,6,1,2023,4,0.5,0.866,-0.4339,-0.901,12.408,23.912,14.013,456.875,58.054,16.067,16.067,12.903,55.774,51.9
2023-01-07,22.4125,73.0944,22.9,63,0.0,1013.2,3.81,82,-3.769,-0.53,ERA5 Reanalysis (Open-Meteo Historical Archive),91.158,63.538,12.521,18.921,467.167,87.25,0.907,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6540.0,537.3,282.5,45.3,51.6,0.1721,0.043,24.0,FACTORY_OPERATIONAL_DATA,15.007,0.3313,11.861,3.8,25.0,1.848,3.98,5.828,0.1287,7,1,2023,5,0.5,0.866,-0.9749,-0.2225,12.588,23.912,22.625,531.583,83.967,15.561,15.561,13.763,56.883,41.9
2023-01-08,22.4125,73.0944,21.5,61,0.0,1012.2,3.11,72,-2.959,-0.961,ERA5 Reanalysis (Open-Meteo Historical Archive),66.95,46.608,12.525,11.312,373.583,80.5,0.474,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",5234.0,399.8,46.1,36.5,40.9,0.13140000000000002,0.0368,18.0,FACTORY_OPERATIONAL_DATA,9.893,0.271,10.953,3.6,28.0,0.935,3.185,4.12,0.1129,8,1,2023,6,0.5,0.866,-0.7818,0.6235,12.521,23.912,18.921,467.167,63.538,13.934,15.181,13.73,56.573,30.3
2023-01-09,22.4125,73.0944,20.6,59,0.0,1013.1,3.33,72,-3.17,-1.03,ERA5 Reanalysis (Open-Meteo Historical Archive),63.354,44.062,23.463,9.379,437.208,63.625,0.278,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6361.0,502.2,0.0,42.9,48.9,0.163,0.040799999999999996,24.0,FACTORY_OPERATIONAL_DATA,11.634,0.2712,11.706,3.8,25.0,1.019,3.871,4.89,0.114,9,1,2023,0,0.5,0.866,0.0,1.0,12.525,21.688,11.312,373.583,46.608,14.188,16.102,13.765,54.663,32.7
2023-01-10,22.4125,73.0944,19.9,60,0.0,1012.5,2.53,66,-2.309,-1.028,ERA5 Reanalysis (Open-Meteo Historical Archive),66.558,46.392,34.762,7.475,525.125,53.625,0.23,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6930.0,587.0,0.0,48.0,54.7,0.1824,0.0456,24.0,FACTORY_OPERATIONAL_DATA,13.094,0.2728,12.229,3.8,25.0,1.192,4.218,5.41,0.1127,10,1,2023,1,0.5,0.866,0.7818,0.6235,23.463,14.917,9.379,437.208,44.062,17.023,17.968,13.707,54.537,37.1
