date,latitude,longitude,b2_blue,b3_green,b4_red,b8_nir,b11_swir1,b12_swir2,ndvi,ndbi,ndwi,cloud_probability,cloud_masked,source
2023-01-01,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-02,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-03,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-04,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-05,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-06,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-07,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-08,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-09,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-10,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-11,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-12,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-13,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-14,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-15,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-16,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-17,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-18,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-19,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-20,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-21,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-22,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-23,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-24,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-25,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-26,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
