date,latitude,longitude,temperature_c,relative_humidity_pct,precipitation_mm,surface_pressure_hpa,wind_speed_ms,wind_direction_deg,wind_u,wind_v,source
2023-01-01,22.4125,73.0944,19.4,61,0.0,1012.8,3.22,32,-1.708,-2.733,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-02,22.4125,73.0944,19.3,62,0.0,1012.7,3.31,40,-2.125,-2.532,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-03,22.4125,73.0944,19.1,60,0.0,1012.9,4.53,38,-2.788,-3.568,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-04,22.4125,73.0944,18.1,54,0.0,1013.3,6.0,47,-4.388,-4.092,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-05,22.4125,73.0944,19.0,58,0.0,1012.9,5.22,53,-4.171,-3.143,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-06,22.4125,73.0944,21.6,68,0.0,1013.5,4.22,67,-3.887,-1.65,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-07,22.4125,73.0944,22.9,63,0.0,1013.2,3.81,82,-3.769,-0.53,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-08,22.4125,73.0944,21.5,61,0.0,1012.2,3.11,72,-2.959,-0.961,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-09,22.4125,73.0944,20.6,59,0.0,1013.1,3.33,72,-3.17,-1.03,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-10,22.4125,73.0944,19.9,60,0.0,1012.5,2.53,66,-2.309,-1.028,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-11,22.4125,73.0944,19.9,64,0.0,1009.4,2.69,108,-2.563,0.833,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-12,22.4125,73.0944,21.5,65,0.0,1007.7,3.22,253,3.081,0.942,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-13,22.4125,73.0944,19.4,53,0.0,1009.0,2.81,288,2.668,-0.867,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-14,22.4125,73.0944,17.4,49,0.0,1010.6,3.31,27,-1.501,-2.945,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-15,22.4125,73.0944,17.5,49,0.0,1009.3,3.75,33,-2.042,-3.145,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-16,22.4125,73.0944,17.7,47,0.0,1009.0,3.25,30,-1.625,-2.815,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-17,22.4125,73.0944,18.4,45,0.0,1009.5,3.64,35,-2.087,-2.981,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-18,22.4125,73.0944,19.4,52,0.0,1010.4,3.61,47,-2.641,-2.463,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-19,22.4125,73.0944,20.2,58,0.0,1009.4,3.19,41,-2.096,-2.411,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-20,22.4125,73.0944,20.3,64,0.0,1008.6,2.83,7,-0.345,-2.812,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-21,22.4125,73.0944,20.1,39,0.0,1009.4,3.58,325,2.055,-2.935,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-22,22.4125,73.0944,18.7,40,0.0,1009.2,3.22,316,2.238,-2.318,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-23,22.4125,73.0944,18.2,44,0.0,1008.4,2.92,293,2.685,-1.14,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-24,22.4125,73.0944,18.6,48,0.0,1008.5,3.11,289,2.942,-1.013,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-25,22.4125,73.0944,19.1,46,0.0,1009.5,3.72,350,0.646,-3.666,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-26,22.4125,73.0944,20.3,50,0.0,1010.1,4.81,27,-2.182,-4.282,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-27,22.4125,73.0944,22.1,59,0.0,1009.6,4.44,41,-2.916,-3.354,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-28,22.4125,73.0944,23.7,65,3.5,1006.8,5.61,51,-4.361,-3.531,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-29,22.4125,73.0944,22.8,71,3.7,1004.7,3.81,170,-0.661,3.748,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-30,22.4125,73.0944,22.2,69,0.0,1009.4,3.25,15,-0.841,-3.139,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-01-31,22.4125,73.0944,21.6,61,0.0,1011.2,5.33,30,-2.667,-4.619,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-02-01,22.4125,73.0944,21.5,54,0.0,1011.1,5.19,43,-3.543,-3.799,ERA5 Reanalysis (Open-Meteo Historical Archive)
2023-02-02,22.4125,73.0944,21.7,45,0.0,1010.4,3.97,59,-3.405,-2.046,ERA5 Reanalysis (Open-Meteo Historical Archive)
